Genere,MediaAnno,Valutazione,Consigliati
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,History,Horror]",2012,Positiva,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,History,Horror]",2012,Positiva,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,History,Horror]",2012,Negativa,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2010,Negativa,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2010,Negativa,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2010,Positiva,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2010,Negativa,"[91, 106, 104, 55, 88, 83, 94, 54, 5, 87, 103, 44, 42, 16, 113, 18, 10, 65, 70, 57, 114, 72, 35, 32, 115, 36, 66, 47, 37, 58, 82, 46, 27, 4, 6, 63, 17, 33, 74, 31, 43, 96, 34, 20, 28, 52, 11, 108, 59, 99, 9, 24, 85, 75, 38, 23, 110, 112, 39, 73, 80, 49, 81, 15]"
"[Comedy,Drama,Family,Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Comedy,Drama,Drama,Music,Romance,Drama,Horror,Thriller,Comedy,Romance,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2008,Positiva,"[29, 108, 53, 62, 65, 63, 35, 85, 17, 61, 45, 92, 20, 56, 101, 50, 26, 28, 10, 64, 66, 60, 14, 89, 90, 111, 4]"
"[Comedy,Drama,Family,Animation,Drama,Fantasy,Mystery,Thriller,Action,Adventure,Sci-Fi,Comedy,Drama,Drama,Music,Romance,Drama,Horror,Thriller,Comedy,Romance,Horror,Mystery,Thriller,Drama,Sci-Fi,Action,Adventure,Mystery,Sci-Fi,Thriller,Action,Comedy,Drama,Romance,Drama,History,Horror]",2008,Positiva,"[29, 108, 53, 62, 65, 63, 35, 85, 17, 61, 45, 92, 20, 56, 101, 50, 26, 28, 10, 64, 66, 60, 14, 89, 90, 111, 4]"
"[Action,Horror,Sci-Fi]",2018,Positiva,"[16, 39, 93, 81, 30, 3, 101, 70, 72, 75, 38, 43, 60, 10, 64, 7, 116, 85, 6, 26, 45, 83, 96, 103, 68, 40, 22, 108, 11, 33, 112, 63, 73, 119]"
